,Weight,Element,Molecule,BasisSet,Spin,BuiltMolecule,bond_lenght,CCSDT,DFT-b3lyp,DFT-SCAN,DFT-wB97X-V,DFT-pbe,DFT-M06-2X,DFT-PW6B95,NN-Functional.DM21,NN-Functional.DM21m,NN-Functional.DM21mc,NN-Functional.DM21mu
10,1,H,"[['H', (0, 0, 0.375)], ['H', (0, 0, -0.375)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.75,-1.163593566977587,-1.1667431082785615,-1.166053373016541,-1.1759444885833594,-1.1601725025179301,-1.1633548638967013,-1.1685912811080943,-1.1691924354302596,-1.1658959146884702,-1.169877879374292,-1.1673291509349606
11,1,H,"[['H', (0, 0, 0.4)], ['H', (0, 0, -0.4)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.8,-1.1627507703812363,-1.1659755366026996,-1.165085129549896,-1.1750681068018396,-1.1598564481368663,-1.1621243215762127,-1.1675415097977686,-1.168146230469852,-1.1648620760040096,-1.1687644306472131,-1.1662210051554975
12,1,H,"[['H', (0, 0, 0.42500000000000004)], ['H', (0, 0, -0.42500000000000004)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.8500000000000001,-1.159340226681274,-1.1626289063626074,-1.1615559227439345,-1.1715736947091306,-1.1569509249413135,-1.158263603495882,-1.1639296587792818,-1.1645013476179034,-1.1615861310979536,-1.165215973017879,-1.1626784007954734
13,1,H,"[['H', (0, 0, 0.45000000000000007)], ['H', (0, 0, -0.45000000000000007)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.9000000000000001,-1.154081713572355,-1.157404570584024,-1.156166972599218,-1.166163410319735,-1.1521582714943033,-1.15249813203801,-1.158455954597555,-1.1589559016002562,-1.156567621409037,-1.1599207121123467,-1.1573525880056057
14,1,H,"[['H', (0, 0, 0.475)], ['H', (0, 0, -0.475)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",0.95,-1.1475203882808775,-1.1508300163409362,-1.1494451884951107,-1.1593655727827556,-1.1460071513866454,-1.1453855192218008,-1.1516466578491746,-1.1520555713524132,-1.150224983874247,-1.153247596855048,-1.1507236624695976
15,1,H,"[['H', (0, 0, 0.5)], ['H', (0, 0, -0.5)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.0,-1.1400734913763237,-1.1433058342374904,-1.1417902464539504,-1.1515814790704502,-1.138899359809332,-1.1373469723139316,-1.1439011038454812,-1.1442187544034557,-1.1428890843716375,-1.1455338443244543,-1.143173191746211
16,1,H,"[['H', (0, 0, 0.525)], ['H', (0, 0, -0.525)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.05,-1.1320623755333017,-1.135137896002016,-1.1335068847094378,-1.1431174993943833,-1.1311418843696681,-1.128694534316082,-1.1355239285578018,-1.1357893442959073,-1.1348149098483389,-1.1371045407388922,-1.1349854112648976
17,1,H,"[['H', (0, 0, 0.55)], ['H', (0, 0, -0.55)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.1,-1.1237352368972227,-1.1265601437145651,-1.1248278159343257,-1.1342078264496998,-1.1229696322883862,-1.1196542295597438,-1.1267479026767688,-1.127074484125397,-1.126238460171669,-1.1282158250548682,-1.126372359891622
18,1,H,"[['H', (0, 0, 0.5750000000000001)], ['H', (0, 0, -0.5750000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.1500000000000001,-1.1152836553010665,-1.117751209062403,-1.115930454736591,-1.1250311310765704,-1.1145620361298008,-1.1103909627475395,-1.1177505263966123,-1.1182737277030523,-1.117320744945003,-1.1190854566969153,-1.1175037995697505
19,1,H,"[['H', (0, 0, 0.6)], ['H', (0, 0, -0.6)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.2,-1.1068551915325657,-1.10884700968997,-1.1069496080657362,-1.1157232076454595,-1.106055671504421,-1.1010278279471302,-1.1086666499387472,-1.1095402650352777,-1.108181760879865,-1.1098627561216658,-1.1085332840338449
